[49094]: 3-14	IORB created: 47562
[49319]: 14-15	IORB created: 47715
[49469]: 15-11	IORB created: 47788
[49559]: 11-16	IORB created: 47834
[49754]: 16-12	IORB created: 47856
[49844]: 12-11	IORB created: 48059
[49949]: 11-12	IORB created: 48079
[50084]: 12-13	IORB created: 48284
[50219]: 13-10	IORB created: 48614
[50309]: 10-19	IORB created: 48614
[50549]: 19-11	IORB created: 48749
[50609]: 11-0	IORB created: 49094
[50714]: 0-14	IORB created: 49319
[50954]: 14-11	IORB created: 49766
[51044]: 11-10	IORB created: 49844
[51149]: 10-19	IORB created: 49967
[51389]: 19-15	IORB created: 50000
[51509]: 15-11	IORB created: 50084
[51599]: 11-11	IORB created: 50203
[51719]: 11-16	IORB created: 50219
[51914]: 16-15	IORB created: 50411
[52049]: 15-16	IORB created: 50549
[52214]: 16-12	IORB created: 50646
[52304]: 12-2	IORB created: 50748
[52394]: 2-15	IORB created: 50921
[52634]: 15-11	IORB created: 50954
[52724]: 11-18	IORB created: 51044
[52949]: 18-14	IORB created: 51195
[53054]: 14-10	IORB created: 51389
[53129]: 10-14	IORB created: 51676
[53294]: 14-14	IORB created: 51719
[53429]: 14-20	IORB created: 51860
[53654]: 20-18	IORB created: 51980
[53804]: 18-11	IORB created: 52102
[53864]: 11-0	IORB created: 52394
[53969]: 0-11	IORB created: 52708
[54164]: 11-14	IORB created: 52819
[54329]: 14-10	IORB created: 52949
[54404]: 10-16	IORB created: 53021
[54599]: 16-10	IORB created: 53054
[54659]: 10-16	IORB created: 53129
[54854]: 16-10	IORB created: 53294
[54914]: 10-18	IORB created: 53429
[55139]: 18-15	IORB created: 53654
[55259]: 15-16	IORB created: 53920
[55424]: 16-0	IORB created: 54149
[55574]: 0-15	IORB created: 54409
[55829]: 15-20	IORB created: 54952
[56054]: 20-12	IORB created: 54972
[56114]: 12-11	IORB created: 55139
[56219]: 11-16	IORB created: 55259
[56414]: 16-16	IORB created: 55424
[56564]: 16-0	IORB created: 55574
[56714]: 0-10	IORB created: 55829
[56894]: 10-16	IORB created: 56054
[57089]: 16-11	IORB created: 56114
[57164]: 11-19	IORB created: 57111
[57404]: 19-10	IORB created: 57164
[57449]: 10-0	IORB created: 57367
[57554]: 0-16	IORB created: 57404
[57824]: 16-12	IORB created: 57412
[57914]: 12-14	IORB created: 57412
[58064]: 14-0	IORB created: 57554
[58199]: 0-19	IORB created: 57616
[58514]: 19-15	IORB created: 57670
[58634]: 15-10	IORB created: 57914
[58709]: 10-11	IORB created: 57957
[58829]: 11-10	IORB created: 58064
[58934]: 10-18	IORB created: 58092
[59159]: 18-11	IORB created: 58492
[59219]: 11-16	IORB created: 58514
[59414]: 16-20	IORB created: 58618
[59624]: 20-19	IORB created: 58634
[59789]: 19-0	IORB created: 58670
[59954]: 0-2	IORB created: 58962
[60014]: 2-16	IORB created: 59159
[60269]: 16-11	IORB created: 59210
[60344]: 11-16	IORB created: 59624
[60539]: 16-10	IORB created: 59789
[60599]: 10-13	IORB created: 59858
[60749]: 13-17	IORB created: 59936
[60944]: 17-14	IORB created: 59954
[61064]: 14-19	IORB created: 59973
[61274]: 19-19	IORB created: 60000
[61454]: 19-15	IORB created: 60014
[61574]: 15-19	IORB created: 60168
[61784]: 19-10	IORB created: 60344
[61829]: 10-11	IORB created: 60422
[61949]: 11-16	IORB created: 60944
[62144]: 16-18	IORB created: 60990
[62324]: 18-13	IORB created: 61003
[62414]: 13-10	IORB created: 61064
[62504]: 10-13	IORB created: 61145
[62654]: 13-20	IORB created: 61274
[62894]: 20-8	IORB created: 61472
[62954]: 8-0	IORB created: 61574
[63044]: 0-11	IORB created: 61784
[63239]: 11-14	IORB created: 61926
[63404]: 14-10	IORB created: 61949
[63479]: 10-11	IORB created: 62079
[63599]: 11-10	IORB created: 62414
[63704]: 10-16	IORB created: 62654
[63899]: 16-16	IORB created: 62894
[64049]: 16-5	IORB created: 62954
[64124]: 5-18	IORB created: 63079
[64394]: 18-12	IORB created: 63114
[64469]: 12-11	IORB created: 63239
[64574]: 11-15	IORB created: 63306
[64754]: 15-18	IORB created: 63355
[64949]: 18-11	IORB created: 63404
[65009]: 11-17	IORB created: 63448
[65219]: 17-16	IORB created: 63899
[65369]: 16-11	IORB created: 64217
[65444]: 11-5	IORB created: 64336
[65474]: 5-16	IORB created: 64394
[65714]: 16-15	IORB created: 64556
[65849]: 15-15	IORB created: 64706
[65999]: 15-12	IORB created: 64800
[66104]: 12-11	IORB created: 64830
[66209]: 11-26	IORB created: 64949
[66554]: 26-10	IORB created: 65009
[66629]: 10-4	IORB created: 65219
[66674]: 4-10	IORB created: 65444
[66824]: 10-11	IORB created: 65474
[66944]: 11-13	IORB created: 65577
[67094]: 13-19	IORB created: 65786
[67319]: 19-18	IORB created: 65849
[67484]: 18-12	IORB created: 66062
[67559]: 12-11	IORB created: 66104
[67664]: 11-19	IORB created: 66209
[67904]: 19-16	IORB created: 66554
[68039]: 16-0	IORB created: 66674
[68189]: 0-13	IORB created: 66852
[68414]: 13-5	IORB created: 66944
[68459]: 5-18	IORB created: 67094
[68729]: 18-16	IORB created: 67319
[68864]: 16-10	IORB created: 67484
[68924]: 10-10	IORB created: 67559
[69029]: 10-18	IORB created: 67664
[69254]: 18-11	IORB created: 67904
[69314]: 11-21	IORB created: 68039
[69584]: 21-11	IORB created: 68437
[69629]: 11-8	IORB created: 68573
[69704]: 8-0	IORB created: 68874
[69794]: 0-17	IORB created: 69180
[70079]: 17-10	IORB created: 69254
[70139]: 10-16	IORB created: 69314
[70334]: 16-10	IORB created: 69629
[70394]: 10-23	IORB created: 69650
[70694]: 23-5	IORB created: 69704
[70814]: 5-0	IORB created: 69794
[70874]: 0-26	IORB created: 70000
[71294]: 26-16	IORB created: 70079
[71369]: 16-11	IORB created: 70298
[71444]: 11-17	IORB created: 70352
[71654]: 17-13	IORB created: 70412
[71759]: 13-11	IORB created: 70451
[71864]: 11-11	IORB created: 70694
[71984]: 11-10	IORB created: 70962
[72089]: 10-9	IORB created: 71199
[72179]: 9-10	IORB created: 71444
[72299]: 10-17	IORB created: 71564
[72509]: 17-16	IORB created: 71654
[72659]: 16-11	IORB created: 71759
[72734]: 11-17	IORB created: 71864
[72944]: 17-21	IORB created: 71984
[73169]: 21-5	IORB created: 72089
[73274]: 5-0	IORB created: 72179
[73334]: 0-14	IORB created: 72314
[73574]: 14-16	IORB created: 72509
[73739]: 16-11	IORB created: 72944
[73814]: 11-11	IORB created: 73225
[73934]: 11-11	IORB created: 73274
[74054]: 11-5	IORB created: 73334
[74084]: 5-17	IORB created: 73518
[74339]: 17-10	IORB created: 73574
[74399]: 10-19	IORB created: 73795
[74639]: 19-23	IORB created: 73851
[74879]: 23-11	IORB created: 73934
[74909]: 11-19	IORB created: 73981
[75149]: 19-18	IORB created: 74315
[75314]: 18-16	IORB created: 74339
[75449]: 16-20	IORB created: 74390
[75659]: 20-14	IORB created: 74390
[75749]: 14-16	IORB created: 74639
[75914]: 16-10	IORB created: 74879
[75974]: 10-6	IORB created: 75079
[76019]: 6-16	IORB created: 75149
[76244]: 16-14	IORB created: 75314
[76364]: 14-10	IORB created: 75749
[76439]: 10-5	IORB created: 75867
[76469]: 5-21	IORB created: 75974
[76784]: 21-5	IORB created: 76019
[76889]: 5-4	IORB created: 76132
[76949]: 4-19	IORB created: 76134
[77234]: 19-20	IORB created: 76150
[77429]: 20-18	IORB created: 76230
[77579]: 18-16	IORB created: 76257
[77714]: 16-16	IORB created: 76364
[77864]: 16-23	IORB created: 76386
[78119]: 23-5	IORB created: 76469
[78239]: 5-19	IORB created: 76608
[78524]: 19-21	IORB created: 76802
[78734]: 21-0	IORB created: 76949
[78914]: 0-6	IORB created: 76968
[79034]: 6-19	IORB created: 77234
[79304]: 19-13	IORB created: 77429
