[46522]: 20-26	IORB created: 43799
[46792]: 26-0	IORB created: 45322
[47017]: 0-5	IORB created: 45772
[47122]: 5-5	IORB created: 45667
[47197]: 5-5	IORB created: 45487
[47272]: 5-6	IORB created: 45415
[47362]: 6-12	IORB created: 46132
[47527]: 12-12	IORB created: 45877
[47647]: 12-16	IORB created: 46522
[47827]: 16-13	IORB created: 46083
[47932]: 13-16	IORB created: 45973
[48112]: 16-17	IORB created: 46394
[48277]: 17-21	IORB created: 45157
[48502]: 21-1	IORB created: 47039
[48667]: 1-5	IORB created: 47984
[48772]: 5-5	IORB created: 47758
[48847]: 5-5	IORB created: 47647
[48922]: 5-8	IORB created: 47959
[49042]: 8-9	IORB created: 46792
[49147]: 9-10	IORB created: 48112
[49267]: 10-10	IORB created: 47932
[49372]: 10-10	IORB created: 47527
[49477]: 10-16	IORB created: 48277
[49672]: 16-19	IORB created: 48005
[49867]: 19-6	IORB created: 48772
[49942]: 6-9	IORB created: 49640
[50062]: 9-9	IORB created: 49042
[50167]: 9-8	IORB created: 48667
[50257]: 8-9	IORB created: 48927
[50362]: 9-10	IORB created: 48956
[50482]: 10-12	IORB created: 49495
[50617]: 12-15	IORB created: 49419
[50782]: 15-16	IORB created: 49829
[50947]: 16-21	IORB created: 49147
[51172]: 21-26	IORB created: 48609
[51442]: 26-0	IORB created: 50257
[51667]: 0-5	IORB created: 50482
[51772]: 5-5	IORB created: 50362
[51847]: 5-5	IORB created: 50167
[51922]: 5-5	IORB created: 50000
[51997]: 5-5	IORB created: 49942
[52072]: 5-9	IORB created: 50947
[52207]: 9-15	IORB created: 50805
[52402]: 15-16	IORB created: 49867
[52567]: 16-24	IORB created: 50617
[52837]: 24-6	IORB created: 52552
[52957]: 6-7	IORB created: 52825
[53047]: 7-7	IORB created: 51969
[53137]: 7-9	IORB created: 52183
[53257]: 9-11	IORB created: 52402
[53392]: 11-16	IORB created: 52207
[53587]: 16-21	IORB created: 51442
[53812]: 21-2	IORB created: 53739
[53962]: 2-5	IORB created: 53257
[54052]: 5-5	IORB created: 53137
[54127]: 5-5	IORB created: 53047
[54202]: 5-5	IORB created: 52957
[54277]: 5-10	IORB created: 53392
[54427]: 10-10	IORB created: 52837
[54532]: 10-5	IORB created: 54023
[54562]: 5-7	IORB created: 54296
[54667]: 7-10	IORB created: 54002
[54802]: 10-16	IORB created: 53962
[54997]: 16-24	IORB created: 53923
[55267]: 24-0	IORB created: 54997
[55477]: 0-5	IORB created: 54667
[55582]: 5-9	IORB created: 54843
[55717]: 9-11	IORB created: 54659
[55852]: 11-18	IORB created: 54562
[56077]: 18-19	IORB created: 55120
[56257]: 19-23	IORB created: 55095
[56497]: 23-26	IORB created: 54802
[56752]: 26-3	IORB created: 55730
[56932]: 3-5	IORB created: 55717
[57022]: 5-7	IORB created: 56077
[57127]: 7-8	IORB created: 55307
[57232]: 8-10	IORB created: 55852
[57352]: 10-10	IORB created: 55599
[57457]: 10-15	IORB created: 55320
[57637]: 15-21	IORB created: 56497
[57877]: 21-21	IORB created: 55267
[58072]: 21-5	IORB created: 57457
[58177]: 5-5	IORB created: 57232
[58252]: 5-7	IORB created: 56752
[58357]: 7-9	IORB created: 57510
